hypothesis,n,cover,ci_lo,ci_hi,p_raw,season_t,seasons,roi_at_110
scored 30+ in each of last 2,715,0.4811,0.4548,0.5073,0.3309,-0.77,20,-0.0815
scored 30+ in each of last 3,258,0.4457,0.4035,0.4881,0.0926,-1.49,19,-0.149
scored <=17 in each of last 2,1210,0.5025,0.4837,0.5212,0.8857,0.46,20,-0.0407
won last 2 by 14+,356,0.4354,0.3983,0.4719,0.017,-2.15,20,-0.1688
lost last 2 by 14+,383,0.5196,0.484,0.556,0.4744,0.68,20,-0.0081
covered last 3,1000,0.488,0.4657,0.5099,0.467,-1.18,20,-0.0684
failed to cover last 3,982,0.5193,0.4975,0.5421,0.2377,1.85,20,-0.0085
won last 3 outright,1313,0.4973,0.4795,0.5148,0.8685,-0.44,20,-0.0505
lost last 3 outright,1356,0.5147,0.4971,0.5328,0.2896,1.46,20,-0.0173
last-3 scoring 10+ above season avg,95,0.4947,0.4154,0.5758,1.0,-0.15,13,-0.0555
last-3 scoring 10+ below season avg,92,0.5109,0.4364,0.5862,0.917,0.11,16,-0.0247
