season,team,games,wins,losses,win_pct,pts_for,pts_against,pt_diff,td,xpa,xpm,fga,fgm,safeties,td_pg,pts_pg
2002,Boise State,13,12,1,0.923,593.0,240.0,353.0,79.0,78.0,75.0,21.0,14.0,1.0,6.08,45.62
2002,Kansas State,13,11,2,0.846,582.0,154.0,428.0,79.0,74.0,65.0,16.0,11.0,1.0,6.08,44.77
2002,Miami (FL),13,12,1,0.923,527.0,248.0,279.0,70.0,70.0,66.0,22.0,13.0,1.0,5.38,40.54
2002,Oklahoma,14,12,2,0.857,541.0,216.0,325.0,70.0,65.0,61.0,22.0,16.0,3.0,5.0,38.64
2002,Texas Tech,14,9,5,0.643,537.0,439.0,98.0,71.0,64.0,62.0,19.0,13.0,0.0,5.07,38.36
2003,Boise State,14,13,1,0.929,602.0,239.0,363.0,77.0,76.0,75.0,25.0,19.0,3.0,5.5,43.0
2003,Kansas State,15,11,4,0.733,549.0,244.0,305.0,73.0,68.0,67.0,17.0,12.0,2.0,4.87,36.6
2003,Miami (OH),14,13,1,0.929,602.0,272.0,330.0,82.0,82.0,80.0,15.0,10.0,0.0,5.86,43.0
2003,Oklahoma,14,12,2,0.857,601.0,214.0,387.0,78.0,76.0,74.0,22.0,19.0,0.0,5.57,42.93
2003,Texas,13,10,3,0.769,533.0,280.0,253.0,72.0,65.0,63.0,12.0,10.0,0.0,5.54,41.0
2003,Texas Tech,13,8,5,0.615,552.0,442.0,110.0,76.0,71.0,66.0,13.0,8.0,0.0,5.85,42.46
2003,USC,13,12,1,0.923,534.0,239.0,295.0,68.0,67.0,65.0,24.0,19.0,2.0,5.23,41.08
2004,Boise State,12,11,1,0.917,587.0,308.0,279.0,74.0,71.0,69.0,27.0,24.0,1.0,6.17,48.92
2004,Bowling Green,12,9,3,0.75,532.0,282.0,250.0,69.0,69.0,69.0,21.0,15.0,2.0,5.75,44.33
2004,Louisville,12,11,1,0.917,597.0,236.0,361.0,80.0,77.0,77.0,15.0,12.0,1.0,6.67,49.75
2004,Utah,12,12,0,1.0,544.0,234.0,310.0,75.0,75.0,71.0,7.0,7.0,1.0,6.25,45.33
2005,Louisville,12,9,3,0.75,521.0,285.0,236.0,69.0,66.0,63.0,16.0,14.0,1.0,5.75,43.42
2005,Texas,13,13,0,1.0,652.0,213.0,439.0,88.0,85.0,76.0,18.0,14.0,1.0,6.77,50.15
2005,USC,13,12,1,0.923,638.0,297.0,341.0,87.0,86.0,83.0,12.0,11.0,0.0,6.69,49.08
2006,Boise State,13,13,0,1.0,516.0,229.0,287.0,68.0,63.0,61.0,14.0,13.0,0.0,5.23,39.69
2006,Hawaii,14,11,3,0.786,656.0,337.0,319.0,89.0,82.0,75.0,17.0,13.0,1.0,6.36,46.86
2007,Boise State,13,10,3,0.769,551.0,281.0,270.0,72.0,70.0,69.0,19.0,16.0,0.0,5.54,42.38
2007,Florida,13,9,4,0.692,552.0,331.0,221.0,75.0,74.0,72.0,15.0,10.0,0.0,5.77,42.46
2007,Hawaii,13,12,1,0.923,564.0,331.0,233.0,76.0,74.0,70.0,17.0,12.0,1.0,5.85,43.38
2007,Kansas,13,12,1,0.923,556.0,213.0,343.0,72.0,67.0,66.0,26.0,18.0,2.0,5.54,42.77
2007,Missouri,14,12,2,0.857,558.0,326.0,232.0,70.0,67.0,67.0,25.0,21.0,2.0,5.0,39.86
2007,Oklahoma,14,11,3,0.786,592.0,284.0,308.0,80.0,76.0,71.0,15.0,13.0,1.0,5.71,42.29
2007,Texas Tech,13,9,4,0.692,532.0,337.0,195.0,70.0,67.0,67.0,21.0,13.0,1.0,5.38,40.92
2007,Tulsa,14,10,4,0.714,576.0,467.0,109.0,79.0,76.0,73.0,12.0,7.0,1.0,5.64,41.14
2007,West Virginia,13,11,2,0.846,515.0,235.0,280.0,68.0,67.0,66.0,19.0,13.0,1.0,5.23,39.62
2008,Florida,14,13,1,0.929,611.0,181.0,430.0,82.0,82.0,81.0,13.0,12.0,1.0,5.86,43.64
2008,Houston,13,8,5,0.615,528.0,402.0,126.0,71.0,64.0,62.0,18.0,12.0,0.0,5.46,40.62
2008,Missouri,14,10,4,0.714,591.0,381.0,210.0,76.0,73.0,73.0,27.0,20.0,1.0,5.43,42.21
2008,Oklahoma,14,12,2,0.857,716.0,343.0,373.0,99.0,99.0,94.0,13.0,8.0,1.0,7.07,51.14
2008,Oklahoma State,13,9,4,0.692,530.0,365.0,165.0,69.0,65.0,65.0,19.0,15.0,1.0,5.31,40.77
2008,Oregon,13,10,3,0.769,545.0,367.0,178.0,71.0,65.0,63.0,27.0,18.0,0.0,5.46,41.92
2008,Rice,13,10,3,0.769,537.0,433.0,104.0,74.0,73.0,73.0,10.0,6.0,0.0,5.69,41.31
2008,Texas,13,12,1,0.923,551.0,244.0,307.0,74.0,72.0,72.0,14.0,11.0,0.0,5.69,42.38
2008,Texas Tech,13,11,2,0.846,569.0,362.0,207.0,79.0,76.0,70.0,13.0,7.0,1.0,6.08,43.77
2008,Tulsa,14,11,3,0.786,661.0,391.0,270.0,90.0,88.0,86.0,15.0,11.0,0.0,6.43,47.21
2009,Boise State,14,14,0,1.0,591.0,240.0,351.0,76.0,68.0,66.0,26.0,19.0,1.0,5.43,42.21
2009,Houston,14,10,4,0.714,591.0,421.0,170.0,77.0,73.0,65.0,25.0,20.0,0.0,5.5,42.21
2009,Nevada,13,8,5,0.615,497.0,371.0,126.0,69.0,65.0,61.0,9.0,6.0,0.0,5.31,38.23
2009,Texas,14,13,1,0.929,550.0,234.0,316.0,68.0,67.0,66.0,27.0,24.0,1.0,4.86,39.29
2010,Auburn,14,14,0,1.0,577.0,337.0,240.0,75.0,75.0,74.0,22.0,17.0,1.0,5.36,41.21
2010,Boise State,13,12,1,0.923,586.0,166.0,420.0,77.0,72.0,70.0,24.0,16.0,0.0,5.92,45.08
2010,Hawaii,14,10,4,0.714,554.0,357.0,197.0,72.0,71.0,71.0,21.0,17.0,0.0,5.14,39.57
2010,Nevada,14,13,1,0.929,574.0,300.0,274.0,77.0,77.0,76.0,17.0,12.0,0.0,5.5,41.0
2010,Northern Illinois,14,11,3,0.786,532.0,265.0,267.0,69.0,67.0,59.0,30.0,19.0,0.0,4.93,38.0
2010,Oklahoma State,13,11,2,0.846,575.0,343.0,232.0,71.0,70.0,68.0,31.0,27.0,0.0,5.46,44.23
2010,Oregon,13,12,1,0.923,611.0,243.0,368.0,81.0,73.0,72.0,17.0,13.0,0.0,6.23,47.0
2010,Stanford,13,12,1,0.923,524.0,226.0,298.0,68.0,66.0,61.0,19.0,17.0,0.0,5.23,40.31
2010,Texas Christian,13,13,0,1.0,541.0,156.0,385.0,73.0,73.0,68.0,13.0,11.0,1.0,5.62,41.62
2010,Tulsa,13,10,3,0.769,538.0,394.0,144.0,70.0,65.0,64.0,24.0,16.0,0.0,5.38,41.38
2010,Wisconsin,13,11,2,0.846,539.0,267.0,272.0,70.0,68.0,68.0,22.0,17.0,0.0,5.38,41.46
2011,Baylor,13,10,3,0.769,589.0,484.0,105.0,80.0,78.0,75.0,17.0,10.0,0.0,6.15,45.31
2011,Boise State,13,12,1,0.923,575.0,243.0,332.0,81.0,79.0,71.0,9.0,6.0,0.0,6.23,44.23
2011,Houston,14,13,1,0.929,690.0,314.0,376.0,93.0,92.0,91.0,17.0,13.0,0.0,6.64,49.29
2011,Northern Illinois,14,11,3,0.786,536.0,424.0,112.0,68.0,66.0,64.0,28.0,20.0,1.0,4.86,38.29
2011,Oklahoma State,13,12,1,0.923,633.0,348.0,285.0,81.0,80.0,79.0,25.0,22.0,0.0,6.23,48.69
2011,Oregon,14,12,2,0.857,645.0,345.0,300.0,88.0,81.0,80.0,14.0,9.0,0.0,6.29,46.07
2011,Stanford,13,11,2,0.846,561.0,285.0,276.0,73.0,72.0,68.0,24.0,17.0,1.0,5.62,43.15
2011,Texas Christian,13,11,2,0.846,531.0,279.0,252.0,70.0,64.0,61.0,17.0,14.0,0.0,5.38,40.85
2011,Toledo,13,9,4,0.692,549.0,412.0,137.0,72.0,67.0,66.0,19.0,15.0,0.0,5.54,42.23
2011,Wisconsin,14,11,3,0.786,618.0,266.0,352.0,85.0,82.0,80.0,11.0,8.0,0.0,6.07,44.14
2012,Alabama,14,13,1,0.929,542.0,153.0,389.0,71.0,70.0,69.0,20.0,15.0,0.0,5.07,38.71
2012,Baylor,13,8,5,0.615,578.0,484.0,94.0,76.0,72.0,72.0,27.0,16.0,0.0,5.85,44.46
2012,Clemson,13,11,2,0.846,533.0,323.0,210.0,68.0,62.0,60.0,22.0,19.0,1.0,5.23,41.0
2012,Florida State,14,12,2,0.857,550.0,206.0,344.0,68.0,66.0,65.0,30.0,25.0,0.0,4.86,39.29
2012,Georgia,14,12,2,0.857,529.0,275.0,254.0,72.0,67.0,63.0,14.0,8.0,2.0,5.14,37.79
2012,Louisiana Tech,12,9,3,0.75,618.0,462.0,156.0,84.0,80.0,76.0,18.0,12.0,0.0,7.0,51.5
2012,Northern Illinois,14,12,2,0.857,540.0,278.0,262.0,71.0,70.0,69.0,19.0,15.0,0.0,5.07,38.57
2012,Oklahoma State,13,8,5,0.615,594.0,367.0,227.0,73.0,72.0,72.0,34.0,28.0,0.0,5.62,45.69
2012,Oregon,13,12,1,0.923,645.0,281.0,364.0,89.0,83.0,81.0,14.0,7.0,0.0,6.85,49.62
2012,Texas A&M,13,11,2,0.846,578.0,283.0,295.0,78.0,77.0,69.0,22.0,13.0,0.0,6.0,44.46
2012,West Virginia,13,7,6,0.538,513.0,495.0,18.0,69.0,66.0,64.0,19.0,11.0,0.0,5.31,39.46
2013,Arizona State,14,10,4,0.714,556.0,373.0,183.0,69.0,65.0,63.0,30.0,25.0,1.0,4.93,39.71
2013,Auburn,14,12,2,0.857,553.0,346.0,207.0,72.0,67.0,66.0,21.0,15.0,0.0,5.14,39.5
2013,Baylor,13,11,2,0.846,681.0,306.0,375.0,90.0,89.0,88.0,23.0,15.0,1.0,6.92,52.38
2013,East Carolina,13,10,3,0.769,522.0,322.0,200.0,68.0,66.0,64.0,24.0,16.0,0.0,5.23,40.15
2013,Florida State,14,14,0,1.0,723.0,170.0,553.0,91.0,94.0,94.0,22.0,21.0,0.0,6.5,51.64
2013,Fresno State,13,11,2,0.846,564.0,394.0,170.0,75.0,75.0,71.0,16.0,11.0,0.0,5.77,43.38
2013,Marshall,14,10,4,0.714,590.0,321.0,269.0,80.0,80.0,77.0,14.0,11.0,0.0,5.71,42.14
2013,Missouri,14,12,2,0.857,548.0,323.0,225.0,68.0,69.0,66.0,25.0,18.0,0.0,4.86,39.14
2013,Northern Illinois,14,12,2,0.857,555.0,351.0,204.0,71.0,71.0,69.0,32.0,20.0,0.0,5.07,39.64
2013,Ohio State,14,12,2,0.857,637.0,317.0,320.0,86.0,82.0,80.0,10.0,9.0,0.0,6.14,45.5
2013,Oregon,13,11,2,0.846,591.0,266.0,325.0,80.0,74.0,71.0,14.0,10.0,0.0,6.15,45.46
2013,Texas A&M,13,9,4,0.692,575.0,419.0,156.0,77.0,77.0,73.0,13.0,10.0,0.0,5.92,44.23
2014,Baylor,13,11,2,0.846,627.0,332.0,295.0,81.0,82.0,81.0,26.0,18.0,0.0,6.23,48.23
2014,Boise State,14,12,2,0.857,556.0,375.0,181.0,71.0,71.0,68.0,21.0,16.0,1.0,5.07,39.71
2014,Georgia Tech,14,11,3,0.786,530.0,360.0,170.0,71.0,66.0,65.0,18.0,11.0,0.0,5.07,37.86
2014,Marshall,14,13,1,0.929,638.0,294.0,344.0,83.0,83.0,83.0,21.0,17.0,0.0,5.93,45.57
2014,Michigan State,13,11,2,0.846,559.0,280.0,279.0,74.0,73.0,73.0,22.0,14.0,0.0,5.69,43.0
2014,Ohio State,15,14,1,0.933,672.0,330.0,342.0,86.0,89.0,89.0,20.0,13.0,0.0,5.73,44.8
2014,Oregon,15,13,2,0.867,681.0,354.0,327.0,88.0,83.0,79.0,21.0,18.0,0.0,5.87,45.4
2014,Texas Christian,13,12,1,0.923,604.0,247.0,357.0,76.0,77.0,76.0,28.0,22.0,0.0,5.85,46.46
2014,Western Kentucky,13,8,5,0.615,577.0,519.0,58.0,75.0,72.0,71.0,21.0,16.0,0.0,5.77,44.38
2015,Arkansas State,13,9,4,0.692,520.0,393.0,127.0,69.0,66.0,63.0,18.0,14.0,0.0,5.31,40.0
2015,Baylor,13,10,3,0.769,625.0,368.0,257.0,86.0,83.0,83.0,14.0,8.0,0.0,6.62,48.08
2015,Bowling Green,14,10,4,0.714,591.0,405.0,186.0,82.0,81.0,75.0,15.0,8.0,0.0,5.86,42.21
2015,Clemson,15,14,1,0.933,577.0,325.0,252.0,71.0,70.0,65.0,33.0,28.0,1.0,4.73,38.47
2015,Houston,14,13,1,0.929,566.0,290.0,276.0,75.0,,,17.0,13.0,1.0,5.36,40.43
2015,North Carolina,14,11,3,0.786,570.0,343.0,227.0,73.0,68.0,68.0,23.0,20.0,0.0,5.21,40.71
2015,Oklahoma,13,11,2,0.846,566.0,286.0,280.0,73.0,73.0,71.0,24.0,19.0,0.0,5.62,43.54
2015,Ole Miss,13,10,3,0.769,531.0,294.0,237.0,68.0,,,25.0,19.0,0.0,5.23,40.85
2015,Oregon,13,9,4,0.692,559.0,488.0,71.0,71.0,67.0,67.0,24.0,22.0,0.0,5.46,43.0
2015,Southern Mississippi,14,9,5,0.643,559.0,358.0,201.0,75.0,74.0,70.0,19.0,13.0,0.0,5.36,39.93
2015,Stanford,14,12,2,0.857,529.0,316.0,213.0,68.0,67.0,67.0,20.0,18.0,0.0,4.86,37.79
2015,Texas Christian,13,11,2,0.846,547.0,354.0,193.0,69.0,,,25.0,21.0,2.0,5.31,42.08
2015,Texas Tech,13,7,6,0.538,586.0,567.0,19.0,77.0,73.0,72.0,19.0,16.0,0.0,5.92,45.08
2015,Western Kentucky,14,12,2,0.857,620.0,363.0,257.0,82.0,80.0,79.0,16.0,15.0,0.0,5.86,44.29
2016,Alabama,15,14,1,0.933,582.0,195.0,387.0,73.0,73.0,72.0,29.0,22.0,0.0,4.87,38.8
2016,Clemson,15,14,1,0.933,588.0,270.0,318.0,78.0,74.0,72.0,19.0,14.0,1.0,5.2,39.2
2016,Louisiana Tech,14,9,5,0.643,620.0,470.0,150.0,79.0,79.0,78.0,27.0,22.0,1.0,5.64,44.29
2016,Louisville,13,9,4,0.692,553.0,309.0,244.0,71.0,69.0,68.0,25.0,19.0,0.0,5.46,42.54
2016,Navy,14,9,5,0.643,531.0,434.0,97.0,73.0,68.0,65.0,10.0,8.0,1.0,5.21,37.93
2016,Oklahoma,13,11,2,0.846,571.0,375.0,196.0,77.0,74.0,72.0,16.0,11.0,0.0,5.92,43.92
2016,Pitt,13,8,5,0.615,532.0,458.0,74.0,72.0,69.0,66.0,17.0,10.0,1.0,5.54,40.92
2016,South Florida,13,11,2,0.846,569.0,411.0,158.0,77.0,76.0,75.0,13.0,10.0,0.0,5.92,43.77
2016,Texas Tech,12,5,7,0.417,524.0,522.0,2.0,70.0,70.0,65.0,14.0,13.0,0.0,5.83,43.67
2016,Tulsa,13,10,3,0.769,552.0,388.0,164.0,70.0,67.0,67.0,26.0,21.0,0.0,5.38,42.46
2016,Washington,14,12,2,0.857,585.0,248.0,337.0,77.0,76.0,75.0,20.0,16.0,0.0,5.5,41.79
2016,Western Kentucky,14,11,3,0.786,637.0,344.0,293.0,81.0,80.0,78.0,30.0,21.0,1.0,5.79,45.5
2016,Western Michigan,14,13,1,0.929,582.0,277.0,305.0,75.0,73.0,71.0,24.0,19.0,1.0,5.36,41.57
2017,Arizona,13,7,6,0.538,537.0,447.0,90.0,71.0,69.0,67.0,19.0,14.0,0.0,5.46,41.31
2017,Florida Atlantic,14,11,3,0.786,568.0,318.0,250.0,75.0,69.0,65.0,21.0,15.0,0.0,5.36,40.57
2017,Memphis,13,10,3,0.769,592.0,422.0,170.0,79.0,77.0,76.0,19.0,14.0,0.0,6.08,45.54
2017,Ohio State,14,12,2,0.857,576.0,266.0,310.0,75.0,71.0,71.0,21.0,17.0,1.0,5.36,41.14
2017,Oklahoma,14,12,2,0.857,632.0,379.0,253.0,83.0,80.0,80.0,21.0,17.0,0.0,5.93,45.14
2017,Oklahoma State,13,10,3,0.769,585.0,382.0,203.0,74.0,70.0,70.0,29.0,23.0,0.0,5.69,45.0
2017,Penn State,13,11,2,0.846,534.0,214.0,320.0,72.0,71.0,71.0,17.0,9.0,2.0,5.54,41.08
2017,UCF,13,13,0,1.0,627.0,329.0,298.0,84.0,81.0,80.0,18.0,13.0,1.0,6.46,48.23
