season,week,gameday,game_type,home_team,away_team,home_score,away_score,home_rank,away_rank,location,notes,game_id
2000,1,2000-08-26,REG,Florida State,Brigham Young,29.0,3.0,2.0,,Home,,2000_01_BrighamYoung_FloridaState
2000,1,2000-08-26,REG,Kansas State,Iowa,27.0,7.0,8.0,,Home,,2000_01_Iowa_KansasState
2000,1,2000-08-26,REG,Louisiana Tech,Mississippi Valley State,63.0,10.0,,,Home,,2000_01_MississippiValleyState_LouisianaTech
2000,1,2000-08-26,REG,Texas Tech,New Mexico,24.0,3.0,,,Home,,2000_01_NewMexico_TexasTech
2000,1,2000-08-27,REG,Southern California,Penn State,29.0,5.0,15.0,22.0,Neutral,,2000_01_PennState_SouthernCalifornia
2000,2,2000-08-31,REG,Auburn,Wyoming,35.0,21.0,,,Home,,2000_02_Wyoming_Auburn
2000,2,2000-08-31,REG,Marshall,Southeast Missouri State,63.0,7.0,,,Home,,2000_02_SoutheastMissouriState_Marshall
2000,2,2000-08-31,REG,Miami (FL),McNeese State,61.0,14.0,5.0,,Home,,2000_02_McNeeseState_MiamiFL
2000,2,2000-08-31,REG,North Texas,Baylor,7.0,20.0,,,Home,,2000_02_Baylor_NorthTexas
2000,2,2000-08-31,REG,Northwestern,Northern Illinois,35.0,17.0,,,Home,,2000_02_NorthernIllinois_Northwestern
2000,2,2000-08-31,REG,San Diego State,Arizona State,7.0,10.0,,,Home,,2000_02_ArizonaState_SanDiegoState
2000,2,2000-08-31,REG,Wake Forest,Appalachian State,16.0,20.0,,,Home,,2000_02_AppalachianState_WakeForest
2000,2,2000-08-31,REG,Wisconsin,Western Michigan,19.0,7.0,4.0,,Home,,2000_02_WesternMichigan_Wisconsin
2000,2,2000-09-02,REG,Air Force,Cal State Northridge,55.0,6.0,,,Home,,2000_02_CalStateNorthridge_AirForce
2000,2,2000-09-02,REG,Arkansas,Missouri State,38.0,0.0,,,Home,,2000_02_MissouriState_Arkansas
