league,club,squad_value_eur_m,wage_bill_eur_m
epl,Manchester City FC,1360.0,
epl,Chelsea FC,1190.0,
epl,Arsenal FC,1160.0,
epl,Liverpool FC,950.95,
epl,Manchester United FC,825.0,
epl,Tottenham Hotspur FC,777.3,
epl,Aston Villa FC,680.55,
epl,Newcastle United FC,677.53,
epl,Brighton & Hove Albion FC,667.58,
epl,Crystal Palace FC,526.85,
epl,AFC Bournemouth,518.6,
epl,Nottingham Forest FC,481.3,
epl,Wolverhampton Wanderers FC,433.05,
epl,Brentford FC,427.85,
epl,West Ham United FC,400.7,
epl,Everton FC,363.23,
epl,Fulham FC,362.35,
epl,Southampton FC,310.05,
epl,Ipswich Town FC,270.1,
epl,Leicester City FC,253.35,
championship,Burnley FC,293.18,
championship,Leeds United,247.05,
championship,Sunderland AFC,208.88,
championship,Sheffield United,176.7,
championship,Norwich City,151.0,
championship,Middlesbrough FC,146.73,
championship,Coventry City,98.98,
championship,West Bromwich Albion,88.68,
championship,Luton Town,86.85,
championship,Hull City,86.13,
championship,Stoke City,69.63,
championship,Watford FC,68.33,
championship,Blackburn Rovers,67.88,
championship,Bristol City,60.75,
championship,Cardiff City,56.9,
championship,Queens Park Rangers,56.1,
championship,Millwall FC,55.53,
championship,Swansea City,55.35,
championship,Plymouth Argyle,53.43,
championship,Preston North End,49.48,
championship,Sheffield Wednesday,39.53,
championship,Derby County,36.0,
championship,Portsmouth FC,29.43,
championship,Oxford United,28.43,
ligue_1,Paris Saint-Germain,1140.0,
ligue_1,AS Monaco,411.15,
ligue_1,Olympique Marseille,358.0,
ligue_1,LOSC Lille,336.55,
ligue_1,Olympique Lyon,309.85,
ligue_1,RC Strasbourg Alsace,307.85,
ligue_1,Stade Rennais FC,294.7,
ligue_1,OGC Nice,227.05,
ligue_1,RC Lens,221.45,
ligue_1,Stade Reims,152.5,
ligue_1,FC Toulouse,121.6,
ligue_1,FC Nantes,114.65,
ligue_1,Stade Brestois 29,110.65,
ligue_1,AJ Auxerre,86.9,
ligue_1,AS Saint-Étienne,81.6,
ligue_1,Le Havre AC,70.55,
ligue_1,Montpellier HSC,65.85,
ligue_1,Angers SCO,51.65,
ligue_2,FC Lorient,74.45,
ligue_2,FC Metz,53.3,
ligue_2,Paris FC,44.8,
ligue_2,ESTAC Troyes,28.7,
ligue_2,Clermont Foot 63,25.13,
ligue_2,USL Dunkerque,24.6,
ligue_2,EA Guingamp,24.13,
ligue_2,SM Caen,23.0,
ligue_2,SC Bastia,19.98,
ligue_2,Amiens SC,18.5,
ligue_2,Rodez AF,16.55,
ligue_2,Grenoble Foot 38,16.0,
ligue_2,Pau FC,15.88,
ligue_2,FC Annecy,13.45,
ligue_2,Stade Lavallois,13.33,
ligue_2,AC Ajaccio,12.73,
ligue_2,Red Star FC,11.95,
ligue_2,FC Martigues,7.15,
bundesliga,Bayern Munich,953.55,
bundesliga,Bayer 04 Leverkusen,623.35,
bundesliga,RB Leipzig,513.7,
bundesliga,Borussia Dortmund,508.28,
bundesliga,Eintracht Frankfurt,431.25,
