league,club,squad_value_eur_m,wage_bill_eur_m
epl,Manchester City,1150.0,
epl,Arsenal FC,1000.0,
epl,Chelsea FC,994.95,
epl,Manchester United,847.75,
epl,Liverpool FC,811.85,
epl,Tottenham Hotspur,649.1,
epl,Newcastle United,541.6,
epl,Brighton & Hove Albion,529.8,
epl,Aston Villa,509.55,
epl,Wolverhampton Wanderers,497.65,
epl,Leicester City,490.7,
epl,West Ham United,465.6,
epl,Southampton FC,419.95,
epl,Everton FC,413.15,
epl,Nottingham Forest,376.25,
epl,Brentford FC,371.2,
epl,Leeds United,345.15,
epl,Crystal Palace,323.05,
epl,Fulham FC,295.1,
epl,AFC Bournemouth,287.2,
championship,Burnley FC,193.35,
championship,Watford FC,155.4,
championship,Norwich City,126.55,
championship,Sheffield United,118.55,
championship,Middlesbrough FC,94.48,
championship,Sunderland AFC,84.45,
championship,Blackburn Rovers,83.95,
championship,Stoke City,77.35,
championship,West Bromwich Albion,69.35,
championship,Coventry City,66.65,
championship,Hull City,65.95,
championship,Bristol City,65.58,
championship,Swansea City,65.43,
championship,Birmingham City,59.15,
championship,Queens Park Rangers,57.43,
championship,Preston North End,56.9,
championship,Cardiff City,50.2,
championship,Luton Town,46.83,
championship,Blackpool FC,43.33,
championship,Millwall FC,43.3,
championship,Reading FC,39.45,
championship,Huddersfield Town,38.08,
championship,Rotherham United,32.4,
championship,Wigan Athletic,20.58,
ligue_1,Paris Saint-Germain,891.1,
ligue_1,Stade Rennais FC,387.75,
ligue_1,AS Monaco,368.3,
ligue_1,Olympique Lyon,350.95,
ligue_1,Olympique Marseille,331.55,
ligue_1,OGC Nice,310.8,
ligue_1,LOSC Lille,247.95,
ligue_1,RC Lens,238.15,
ligue_1,FC Lorient,175.45,
ligue_1,Stade Reims,159.05,
ligue_1,Montpellier HSC,142.9,
ligue_1,RC Strasbourg Alsace,123.55,
ligue_1,FC Nantes,119.28,
ligue_1,FC Toulouse,104.8,
ligue_1,Stade Brestois 29,76.65,
ligue_1,ESTAC Troyes,76.3,
ligue_1,Angers SCO,71.8,
ligue_1,AJ Auxerre,54.8,
ligue_1,Clermont Foot 63,48.0,
ligue_1,AC Ajaccio,27.0,
bundesliga,Bayern Munich,948.95,
bundesliga,Borussia Dortmund,567.55,
bundesliga,RB Leipzig,486.4,
bundesliga,Bayer 04 Leverkusen,452.5,
bundesliga,Eintracht Frankfurt,324.55,
bundesliga,Borussia Mönchengladbach,241.68,
bundesliga,VfL Wolfsburg,238.3,
bundesliga,SC Freiburg,200.95,
bundesliga,TSG 1899 Hoffenheim,178.8,
bundesliga,1.FC Union Berlin,157.95,
bundesliga,VfB Stuttgart,151.05,
bundesliga,1.FSV Mainz 05,135.9,
bundesliga,FC Augsburg,132.23,
bundesliga,1.FC Köln,115.65,
bundesliga,Hertha BSC,94.0,
bundesliga,SV Werder Bremen,89.5,
bundesliga,FC Schalke 04,87.78,
bundesliga,VfL Bochum,53.7,
